,Team,Game,Date,Home,Opponent,WINorLOSS,OPTotalNumberPossession,OPOffensiveRating,OPDefensiveRating,OPPDelta,FavDelta,defensiverating,TotalNumberPossession,offensiverating,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
69118,UTA,69,3/15/2018,Home,PHO,W,105.6,83.33,109.85,-26.52,-3.98,116.82,102.8,112.84,116,88,42,97,0.433,12,36,0.333,20,32,0.625,14,53,29,12,8,7,20,32,83,0.386,7,16,0.438,17,24,0.708,9,51,14,4,4,22,25
70118,UTA,70,3/17/2018,Home,SAC,W,101.6,95.47,101.38,-5.91,7.89,99.18,96.2,107.07,103,97,33,74,0.446,6,24,0.25,31,38,0.816,8,48,21,8,8,15,13,37,86,0.43,14,21,0.667,9,14,0.643,3,33,23,11,5,13,30
71157,UTA,71,3/20/2018,Home,ATL,L,103.6,95.56,90.73,4.83,-12.78,104.04,103,91.26,94,99,33,89,0.371,6,34,0.176,22,25,0.88,12,51,16,8,8,16,22,38,94,0.404,9,33,0.273,14,19,0.737,11,52,21,7,3,13,23
72134,UTA,72,3/22/2018,Away,DAL,W,96.6,115.94,123.19,-7.25,37.37,86.07,96.4,123.44,119,112,46,87,0.529,12,29,0.414,15,16,0.938,8,39,32,11,6,11,19,42,85,0.494,17,32,0.531,11,14,0.786,8,35,22,5,7,14,16
73121,UTA,73,3/23/2018,Away,SAS,L,104.8,118.32,114.5,3.82,21.1,88.39,109.6,109.49,120,124,43,88,0.489,11,28,0.393,23,29,0.793,5,34,24,10,3,15,23,47,92,0.511,7,17,0.412,23,27,0.852,11,49,21,9,7,13,25
74118,UTA,74,3/25/2018,Away,GSW,W,92,98.91,119.57,-20.65,6.36,106.81,97.2,113.17,110,91,42,87,0.483,12,28,0.429,14,18,0.778,11,47,27,6,8,14,16,38,91,0.418,6,15,0.4,9,10,0.9,14,41,24,9,7,11,19
75118,UTA,75,3/28/2018,Home,BOS,L,92,105.43,102.17,3.26,2.26,97.32,94.4,99.58,94,97,34,82,0.415,9,33,0.273,17,21,0.81,12,45,25,7,6,16,18,35,79,0.443,12,21,0.571,15,20,0.75,11,42,20,11,2,16,18
76118,UTA,76,3/30/2018,Home,MEM,W,93,104.3,115.05,-10.75,20.54,95.26,92.4,115.8,107,97,40,74,0.541,12,31,0.387,15,26,0.577,7,38,24,7,5,15,19,39,81,0.481,9,23,0.391,10,15,0.667,7,33,24,8,4,13,21
77118,UTA,77,4/1/2018,Away,MIN,W,100.6,96.42,120.28,-23.86,27.07,98.97,96,126.04,121,97,46,76,0.605,11,28,0.393,18,25,0.72,6,45,29,8,7,16,19,38,90,0.422,8,24,0.333,13,14,0.929,7,32,19,10,1,12,17
78118,UTA,78,4/3/2018,Home,LAL,W,97.4,112.94,120.12,-7.19,26.51,90.73,99.8,117.23,117,110,43,89,0.483,14,33,0.424,17,27,0.63,14,47,29,10,5,14,22,36,74,0.486,14,28,0.5,24,36,0.667,7,39,23,7,5,16,23
79118,UTA,79,4/5/2018,Home,LAC,W,95.2,99.79,122.9,-23.11,27.43,98.11,93.2,125.54,117,95,44,83,0.53,10,27,0.37,19,28,0.679,10,38,27,7,8,9,22,35,79,0.443,3,17,0.176,22,28,0.786,11,39,18,7,3,16,25
80118,UTA,80,4/8/2018,Away,LAL,W,101.8,95.28,110.02,-14.73,2.97,105.98,102.8,108.95,112,97,42,83,0.506,13,36,0.361,15,22,0.682,7,45,35,8,4,18,24,37,93,0.398,5,25,0.2,18,22,0.818,12,44,20,8,4,12,22
81123,UTA,81,4/10/2018,Home,GSW,W,98.4,80.28,120.93,-40.65,-3.12,124.3,98.2,121.18,119,79,48,90,0.533,13,35,0.371,10,13,0.769,12,54,25,10,6,15,20,30,86,0.349,5,19,0.263,14,16,0.875,9,39,14,7,3,15,18
82118,UTA,82,4/11/2018,Away,POR,L,98.4,103.66,94.51,9.15,-2.35,96.67,98.6,94.32,93,102,33,89,0.371,8,23,0.348,19,24,0.792,14,53,18,5,7,14,19,41,89,0.461,9,24,0.375,11,16,0.688,7,46,19,9,9,10,22
