,Team,Game,Date,Home,Opponent,WINorLOSS,OPTotalNumberPossession,OPOffensiveRating,OPDefensiveRating,OPPDelta,FavDelta,defensiverating,TotalNumberPossession,offensiverating,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
3391,BOS,33,12/18/2017,Away,IND,W,97.2,114.2,115.23,-1.03,26.83,87.93,97.6,114.75,112,111,44,79,0.557,16,26,0.615,8,14,0.571,6,38,26,6,4,19,31,37,79,0.468,7,21,0.333,30,38,0.789,9,38,14,12,3,12,16
3491,BOS,34,12/20/2017,Home,MIA,L,91,98.9,97.8,1.1,-8.49,103.78,93.4,95.29,89,90,30,80,0.375,13,32,0.406,16,21,0.762,5,44,18,5,5,10,22,33,75,0.44,10,28,0.357,14,25,0.56,6,46,23,6,3,12,16
3591,BOS,35,12/21/2017,Away,NYK,L,95.4,106.92,97.48,9.43,5.56,92.75,94.6,98.31,93,102,33,86,0.384,13,38,0.342,14,19,0.737,9,35,17,11,1,10,20,36,79,0.456,8,14,0.571,22,26,0.846,11,49,13,8,3,17,20
3691,BOS,36,12/23/2017,Home,CHI,W,99,92.93,118.18,-25.25,14.25,105.87,97.4,120.12,117,92,44,92,0.478,12,32,0.375,17,21,0.81,8,46,29,9,5,5,18,34,86,0.395,7,19,0.368,17,25,0.68,12,51,24,4,2,15,16
3791,BOS,37,12/25/2017,Home,WAS,L,98.2,113.03,104.89,8.15,21.21,86.31,95.8,107.52,103,111,39,81,0.481,14,29,0.483,11,17,0.647,8,45,20,2,4,16,23,43,93,0.462,6,26,0.231,19,28,0.679,14,47,26,6,4,8,17
3891,BOS,38,12/27/2017,Away,CHO,W,90.6,100.44,112.58,-12.14,9.31,101.32,92.2,110.63,102,91,37,78,0.474,15,34,0.441,13,13,1,6,43,20,4,7,15,20,32,87,0.368,7,23,0.304,20,29,0.69,19,52,15,7,3,11,11
3991,BOS,39,12/28/2017,Home,HOU,W,101.4,96.65,97.63,-0.99,1.84,99.59,97.6,101.43,99,98,37,82,0.451,8,29,0.276,17,24,0.708,10,44,18,9,8,16,22,30,80,0.375,14,43,0.326,24,31,0.774,7,43,16,9,3,16,23
4091,BOS,40,12/31/2017,Home,BRK,W,100.6,104.37,107.36,-2.98,16.87,93.33,98,110.2,108,105,39,79,0.494,14,33,0.424,16,25,0.64,8,50,21,7,8,17,22,39,95,0.411,11,36,0.306,16,19,0.842,11,45,25,5,4,9,19
41130,BOS,41,1/3/2018,Home,CLE,W,101.2,86.96,100.79,-13.83,-16.75,116.36,102.4,99.61,102,88,41,92,0.446,12,36,0.333,8,11,0.727,9,52,27,9,2,15,20,31,89,0.348,8,32,0.25,18,18,1,9,48,16,6,7,14,17
42107,BOS,42,1/5/2018,Home,MIN,W,90.2,93.13,100.89,-7.76,-11.06,109.76,92.2,98.7,91,84,38,94,0.404,6,36,0.167,9,13,0.692,17,56,24,6,4,10,22,28,76,0.368,7,23,0.304,21,28,0.75,9,43,15,6,5,12,15
4391,BOS,43,1/6/2018,Away,BRK,W,103.8,81.89,83.82,-1.93,-22.32,112.94,96,90.63,87,85,37,98,0.378,5,18,0.278,8,15,0.533,12,44,12,8,13,4,17,30,91,0.33,6,31,0.194,19,22,0.864,12,55,11,2,11,16,14
4491,BOS,44,1/11/2018,Away,PHI,W,105.2,97.91,108.37,-10.46,9.46,100.58,103.6,110.04,114,103,43,89,0.483,13,35,0.371,15,19,0.789,11,46,24,11,2,18,18,38,82,0.463,11,28,0.393,16,18,0.889,3,37,20,12,4,19,19
4591,BOS,45,1/16/2018,Home,NOP,L,112,103.57,100.89,2.68,1.89,97.76,113.4,99.65,113,116,40,101,0.396,19,50,0.38,14,16,0.875,12,53,27,7,3,18,24,45,100,0.45,7,27,0.259,19,25,0.76,13,55,28,11,6,15,14
4691,BOS,46,1/18/2018,Home,PHI,L,93.8,94.88,85.29,9.59,-26.12,108.76,96.8,82.64,80,89,30,74,0.405,7,29,0.241,13,17,0.765,3,31,13,7,5,19,20,34,73,0.466,6,17,0.353,15,17,0.882,8,41,18,10,5,22,20
4791,BOS,47,1/21/2018,Home,ORL,L,95.4,107.97,99.58,8.39,8.58,91.84,94.6,100.42,95,103,37,85,0.435,8,27,0.296,13,14,0.929,11,44,22,6,9,15,18,43,92,0.467,6,21,0.286,11,16,0.688,13,44,20,7,9,10,19
4891,BOS,48,1/23/2018,Away,LAL,L,101.4,106.51,105.52,0.99,18.44,90.74,98,109.18,107,108,42,90,0.467,15,44,0.341,8,10,0.8,7,42,22,3,5,11,25,40,91,0.44,7,26,0.269,21,36,0.583,14,51,18,6,2,10,16
4991,BOS,49,1/24/2018,Away,LAC,W,103.6,98.46,109.07,-10.62,5.08,102.75,104.8,107.82,113,102,39,93,0.419,14,40,0.35,21,22,0.955,10,47,25,10,3,13,28,35,79,0.443,5,21,0.238,27,39,0.692,10,40,26,6,5,19,15
5091,BOS,50,1/27/2018,Away,GSW,L,95.4,114.26,110.06,4.19,18.04,89.54,97.6,107.58,105,109,37,85,0.435,14,28,0.5,17,24,0.708,11,45,17,6,2,14,23,38,84,0.452,10,27,0.37,23,26,0.885,10,43,19,9,9,11,17
51130,BOS,51,1/29/2018,Away,DEN,W,96.4,114.11,115.15,-1.04,32.63,85.45,94,118.09,111,110,43,91,0.473,17,36,0.472,8,10,0.8,10,40,28,4,6,9,19,42,93,0.452,10,33,0.303,16,21,0.762,15,47,31,4,3,10,14
52107,BOS,52,1/31/2018,Home,NYK,W,100.4,72.71,102.59,-29.88,-21.72,130.14,95,108.42,103,73,40,83,0.482,11,26,0.423,12,20,0.6,5,49,27,8,3,9,22,28,87,0.322,3,17,0.176,14,21,0.667,9,44,16,4,4,14,17
5391,BOS,53,2/2/2018,Home,ATL,W,101.6,108.27,117.13,-8.86,26,91.82,101,117.82,119,110,45,89,0.506,11,24,0.458,18,20,0.9,7,42,26,8,3,11,23,34,80,0.425,11,31,0.355,31,34,0.912,4,36,21,6,4,12,18
5491,BOS,54,2/4/2018,Home,POR,W,94.6,101.48,102.54,-1.06,5.7,97.71,93.8,103.41,97,96,35,85,0.412,15,36,0.417,12,17,0.706,9,51,24,3,6,11,16,36,91,0.396,13,31,0.419,11,14,0.786,10,46,21,4,9,8,17
5591,BOS,55,2/6/2018,Away,TOR,L,96.8,114.67,94.01,20.66,2.73,89.19,99,91.92,91,111,33,83,0.398,10,23,0.435,15,20,0.75,9,38,21,3,3,17,19,40,80,0.5,17,36,0.472,14,17,0.824,5,40,29,10,4,15,18
5691,BOS,56,2/8/2018,Away,WAS,W,106,98.11,103.77,-5.66,-3.13,104.42,108.6,101.29,110,104,39,84,0.464,9,26,0.346,23,34,0.676,7,45,16,9,6,18,20,38,95,0.4,12,26,0.462,16,20,0.8,17,52,28,11,4,20,23
5791,BOS,57,2/9/2018,Home,IND,L,91.8,105.66,99.13,6.54,-2.15,97.94,95,95.79,91,97,34,89,0.382,7,27,0.259,16,20,0.8,12,38,16,5,8,10,21,37,83,0.446,5,20,0.25,18,22,0.818,13,53,18,6,5,13,20
5891,BOS,58,2/11/2018,Home,CLE,L,98,123.47,101.02,22.45,18.55,81.65,98.8,100.2,99,121,36,89,0.404,10,38,0.263,17,22,0.773,13,43,22,3,4,14,14,45,84,0.536,16,30,0.533,15,20,0.75,5,41,22,7,6,11,20
5991,BOS,59,2/14/2018,Home,LAC,L,101.2,127.47,117.59,9.88,36.83,79.38,102.4,116.21,119,129,42,97,0.433,15,31,0.484,20,21,0.952,11,46,24,4,7,8,31,44,88,0.5,11,29,0.379,30,33,0.909,7,43,26,5,5,7,21
6091,BOS,60,2/23/2018,Away,DET,W,94.4,103.81,116.53,-12.71,22.92,95.1,93.2,118.03,110,98,41,85,0.482,17,39,0.436,11,18,0.611,10,42,30,8,5,11,22,37,85,0.435,10,33,0.303,14,21,0.667,12,45,16,4,4,13,18
61130,BOS,61,2/24/2018,Away,NYK,W,105,106.67,115.24,-8.57,23.09,93.04,104.2,116.12,121,112,42,93,0.452,13,33,0.394,24,28,0.857,11,45,21,11,5,11,15,45,96,0.469,6,27,0.222,16,20,0.8,13,49,20,10,4,14,22
62107,BOS,62,2/26/2018,Home,MEM,W,95.8,102.3,113.78,-11.48,16.02,97.76,95.8,113.78,109,98,39,86,0.453,12,37,0.324,19,27,0.704,9,44,25,5,5,8,23,34,78,0.436,5,23,0.217,25,32,0.781,5,40,27,4,2,10,22
6391,BOS,63,2/28/2018,Home,CHO,W,97.8,108.38,137.01,-28.63,41.96,93.4,99,135.35,134,106,54,87,0.621,12,20,0.6,14,15,0.933,4,47,31,3,4,10,20,42,91,0.462,9,27,0.333,13,22,0.591,9,33,24,6,6,7,17
6491,BOS,64,3/3/2018,Away,HOU,L,99,124.24,121.21,3.03,33.94,83.25,102.4,117.19,120,123,44,91,0.484,13,24,0.542,19,21,0.905,10,38,22,6,3,13,21,39,87,0.448,19,49,0.388,26,30,0.867,10,40,24,11,5,10,21
6591,BOS,65,3/5/2018,Away,CHI,W,95,93.68,110.53,-16.84,4.24,106.52,94.8,110.76,105,89,41,84,0.488,12,36,0.333,11,12,0.917,12,53,25,7,4,18,13,32,81,0.395,12,33,0.364,13,20,0.65,7,36,18,14,1,13,16
6691,BOS,66,3/8/2018,Away,MIN,W,98.2,111,119.14,-8.15,25.67,91.56,99.8,117.23,117,109,43,87,0.494,11,32,0.344,20,27,0.741,9,46,28,7,2,11,17,44,94,0.468,12,31,0.387,9,13,0.692,13,47,24,3,3,12,22
6791,BOS,67,3/11/2018,Home,IND,L,97,102.06,100,2.06,5.31,96.36,95.4,101.68,97,99,34,81,0.42,12,37,0.324,17,21,0.81,10,42,26,10,5,16,13,39,81,0.481,12,22,0.545,9,10,0.9,6,39,26,9,7,18,20
6891,BOS,68,3/14/2018,Home,WAS,L,114.2,109.46,108.58,0.88,15.48,92.16,115.2,107.64,124,125,48,99,0.485,12,26,0.462,16,23,0.696,10,44,30,9,5,17,22,46,97,0.474,12,32,0.375,21,28,0.75,13,52,29,10,6,19,26
6991,BOS,69,3/16/2018,Away,ORL,W,99.4,83.5,92.56,-9.05,-18.06,114.7,95.2,96.64,92,83,31,82,0.378,9,26,0.346,21,28,0.75,16,55,16,7,6,18,17,34,87,0.391,5,28,0.179,10,11,0.909,7,40,14,12,7,15,23
7091,BOS,70,3/18/2018,Away,NOP,L,97,111.34,91.75,19.59,0.08,90.74,98,90.82,89,108,35,87,0.402,9,26,0.346,10,20,0.5,9,44,17,8,3,12,21,41,82,0.5,6,18,0.333,20,25,0.8,5,44,33,9,5,10,13
71130,BOS,71,3/20/2018,Home,OKC,W,101.6,97.44,98.43,-0.98,0.2,100.4,99.4,100.6,100,99,36,87,0.414,13,36,0.361,15,16,0.938,11,52,22,6,5,17,24,35,85,0.412,10,27,0.37,19,29,0.655,8,44,19,6,6,13,20
72107,BOS,72,3/23/2018,Away,POR,W,94,106.38,111.7,-5.32,23.48,91.4,91.4,114.88,105,100,35,77,0.455,11,18,0.611,24,26,0.923,9,45,22,5,4,13,18,40,91,0.44,8,33,0.242,12,15,0.8,11,43,16,8,5,8,20
7391,BOS,73,3/25/2018,Away,SAC,W,93,100,111.83,-11.83,16.9,97.63,90.8,114.54,104,93,40,72,0.556,12,22,0.545,12,17,0.706,3,35,23,9,2,15,11,38,82,0.463,7,26,0.269,10,10,1,7,34,18,7,1,14,16
7491,BOS,74,3/26/2018,Away,PHO,W,92.6,101.51,110.15,-8.64,7.18,100.64,94.6,107.82,102,94,37,87,0.425,14,29,0.483,14,14,1,10,44,24,10,3,12,19,36,81,0.444,12,35,0.343,10,19,0.526,11,47,18,8,5,15,18
7591,BOS,75,3/28/2018,Away,UTA,W,94.4,99.58,102.75,-3.18,7.56,97.87,92,105.43,97,94,35,79,0.443,12,21,0.571,15,20,0.75,11,42,20,11,2,16,18,34,82,0.415,9,33,0.273,17,21,0.81,12,45,25,7,6,16,18
7691,BOS,76,3/31/2018,Home,TOR,W,94.8,104.43,116.03,-11.6,18.05,96.77,95.8,114.82,110,99,40,88,0.455,7,17,0.412,23,27,0.852,8,41,19,6,3,5,23,37,80,0.463,8,35,0.229,17,22,0.773,9,46,23,1,5,15,26
7791,BOS,77,4/3/2018,Away,MIL,L,93.4,113.49,109.21,4.28,12.43,92.08,97.6,104.51,102,106,38,81,0.469,7,23,0.304,19,24,0.792,10,37,19,10,6,17,17,43,79,0.544,5,20,0.25,15,21,0.714,9,41,27,6,5,15,23
7891,BOS,78,4/4/2018,Away,TOR,L,93.2,103,83.69,19.31,-15.32,98.13,94.2,82.8,78,96,25,75,0.333,3,22,0.136,25,28,0.893,8,43,10,7,3,16,16,40,92,0.435,10,33,0.303,6,8,0.75,12,48,23,10,6,10,25
7991,BOS,79,4/6/2018,Home,CHI,W,100.8,103.17,110.12,-6.94,15.26,95.96,99.8,111.22,111,104,45,81,0.556,14,34,0.412,7,17,0.412,6,46,35,9,7,18,15,40,86,0.465,14,30,0.467,10,17,0.588,9,43,25,15,0,17,22
8091,BOS,80,4/8/2018,Home,ATL,L,99.6,112.45,106.43,6.02,33.07,82.14,92,115.22,106,112,42,82,0.512,9,23,0.391,13,20,0.65,10,41,33,9,6,12,18,43,86,0.5,15,35,0.429,11,14,0.786,5,37,23,7,4,13,19
8193,BOS,81,4/10/2018,Away,WAS,L,101,111.88,100,11.88,10.99,89.2,100.8,100.2,101,113,33,87,0.379,13,33,0.394,22,27,0.815,13,44,22,14,1,16,18,41,83,0.494,15,30,0.5,16,20,0.8,10,51,32,8,3,20,24
8291,BOS,82,4/11/2018,Home,BRK,W,102.4,94.73,107.42,-12.7,4.79,104.12,101,108.91,110,97,46,102,0.451,6,24,0.25,12,15,0.8,20,62,22,6,6,13,14,37,91,0.407,11,40,0.275,12,16,0.75,10,44,27,10,6,15,12
1395,CLE,1,10/17/2017,Home,BOS,W,99,100,103.03,-3.03,-1.03,102.02,101,100.99,102,99,38,83,0.458,5,22,0.227,21,25,0.84,9,50,19,3,4,17,25,36,88,0.409,8,32,0.25,19,25,0.76,9,46,24,11,4,10,24
2395,CLE,2,10/20/2017,Away,MIL,W,92.8,104.53,125,-20.47,22.32,98.76,95.8,121.09,116,97,44,81,0.543,11,26,0.423,17,17,1,9,44,25,8,3,17,10,38,82,0.463,11,35,0.314,10,12,0.833,8,30,23,9,2,14,17
3395,CLE,3,10/21/2017,Home,ORL,L,98,116.33,94.9,21.43,2.06,89.3,101.8,91.36,93,114,33,86,0.384,7,25,0.28,20,27,0.741,11,44,15,4,7,16,14,40,90,0.444,17,35,0.486,17,20,0.85,12,50,28,7,6,12,28
4395,CLE,4,10/24/2017,Home,CHI,W,94.2,118.9,126.33,-7.43,45.38,82.86,92.8,128.23,119,112,43,83,0.518,16,38,0.421,17,22,0.773,8,39,28,5,3,9,14,42,88,0.477,17,33,0.515,11,13,0.846,8,39,28,3,3,9,20
5395,CLE,5,10/25/2017,Away,BRK,L,103.4,108.32,103.48,4.84,11.16,92.32,103.4,103.48,107,112,39,81,0.481,12,35,0.343,17,26,0.654,9,47,21,5,7,21,17,40,93,0.43,17,46,0.37,15,21,0.714,10,38,22,11,3,12,22
6395,CLE,6,10/28/2017,Away,NOP,L,102.4,120.12,98.63,21.48,19.33,81.46,100.2,100.8,101,123,36,78,0.462,12,32,0.375,17,23,0.739,5,37,19,8,2,18,19,49,95,0.516,13,33,0.394,12,16,0.75,10,47,33,10,4,11,20
